date,BadWeather,Average,3DayAverage,7DayAverage,High,Low
20100228,1,2.5,2.95,2.29285714285714,4.4,0.6
20100301,0,5.55,4.43333333333333,2.97142857142857,8.9,2.2
20100302,1,5.25,4.61666666666667,3.91428571428571,8.3,2.2
20100303,5,3.05,4.43333333333333,4.67142857142857,5,1.1
20100304,0,5,4.43333333333333,5.50714285714286,8.3,1.7
20100305,2,5.25,5.45,6.22142857142857,9.4,1.1
20100306,0,6.1,6.56666666666667,7.1,12.20000000000000,0
20100307,0,8.35,8.33333333333333,8.13571428571429,13.90000000000000,2.8
20100308,0,10.55,10.1,8.65714285714286,16.10000000000000,5
20100309,0,11.4,10.75,8.62142857142857,16.10000000000000,6.7
20100310,0,10.3,10.1166666666667,8.54285714285714,13.90000000000000,6.7
20100311,0,8.65,7.98333333333333,8.5,11.70000000000000,5.6
20100312,5,5,6.4,7.90714285714286,6.1,3.9
20100313,4,5.55,6.2,7.86428571428571,7.8,3.3
20100314,5,8.05,6.66666666666667,8.17857142857143,10.00000000000000,6.1
20100315,6,6.4,8.51666666666667,9.12857142857143,7.8,5
20100316,1,11.1,10,10.6714285714286,17.20000000000000,5
20100317,0,12.5,12.9666666666667,12.4142857142857,18.90000000000000,6.1
20100318,0,15.3,14.5333333333333,13.2928571428571,20.60000000000000,10.00000000000000
